ID,Nombre,Apellido,Tipo Identificacion,Numero Identificacion,Sexo,Telefono Celular,Telefono Fijo,Email,Fecha Nacimiento,Ciudad Nacimiento,Pais Nacimiento,Pais Residencia,Ciudad Residencia,Direccion,Barrio,Actividad Laboral,Tiene Hijos,Numero de Hijos,Nombre Sucursal,Edad
1,John,Doe,DNI,12345678,m,123-456-7890,987-654-3210,john.doe@example.com,1990-01-01,New York,USA,USA,New York,123 Main Street,Sunset Hills,Programador,s,2,Sucursal ABC,30
2,Jane,Doe,DNI,87654321,f,987-654-3210,123-456-7890,jane.doe@example.com,1992-05-15,London,UK,UK,London,456 Oak Avenue,Sunset Hills,Analista de Datos,n,0,Sucursal XYZ,28
3,Michael,Smith,Pasaporte,AB123456,m,555-123-4567,222-987-6543,michael.smith@example.com,1985-09-22,New York,USA,USA,New York,789 Elm Street,Golden Gate,Ingeniero de Software,s,3,Sucursal ABC,36
4,Emily,Johnson,Cédula,98765432,f,123-987-6543,789-654-3210,emily.johnson@example.com,1988-12-10,New York,USA,USA,New York,456 Oak Avenue,Sunset Hills,Diseñadora Gráfica,s,1,Sucursal XYZ,33
5,David,Williams,DNI,34567890,m,333-222-1111,444-555-6666,david.williams@example.com,1977-03-05,Paris,France,France,Paris,202 Rue de la Paix,Le Marais,Gerente de Proyectos,n,0,Sucursal ABC,46
6,Ivan,Illinovich,Cédula,98765432,f,123-987-6543,789-654-3210,ivan.illinovich@example.com,1988-12-10,New York,USA,USA,New York,456 Oak Avenue,Sunset Hills,Diseñadora Gráfica,s,1,Sucursal XYZ,33
7,Alice,Johnson,DNI,98765432,f,123-987-6543,789-654-3210,alice.johnson@example.com,1995-08-22,London,UK,UK,London,456 Oak Avenue,Sunset Hills,Desarrollador de Software,n,0,Sucursal XYZ,28
8,Bob,Smith,Pasaporte,XY789012,m,555-123-4567,222-987-6543,bob.smith@example.com,1990-04-15,New York,USA,USA,New York,789 Elm Street,Golden Gate,Ingeniero de Datos,s,2,Sucursal ABC,32
9,Catherine,White,Cédula,87654321,f,123-456-7890,987-654-3210,catherine.white@example.com,1988-12-10,Bogota,Colombia,Colombia,Bogota,101 Main Street,Greenwood,Diseñadora Gráfica,s,1,Sucursal XYZ,33
10,Daniel,Jones,DNI,23456789,m,333-222-1111,444-555-6666,daniel.jones@example.com,1982-06-05,Paris,France,France,Paris,202 Rue de la Paix,Le Marais,Gerente de Proyectos,n,0,Sucursal ABC,41
11,Eva,Anderson,Pasaporte,AB987654,f,555-987-6543,222-333-4444,eva.anderson@example.com,1980-02-18,London,UK,UK,London,303 High Street,Westminster,Analista de Datos,n,0,Sucursal XYZ,43
12,Frank,Miller,DNI,34567890,m,123-456-7890,987-654-3210,frank.miller@example.com,1991-11-30,New York,USA,USA,New York,404 Maple Avenue,Brooklyn,Programador,s,3,Sucursal ABC,30
13,Grace,Kim,Cédula,56789012,f,555-987-6543,222-333-4444,grace.kim@example.com,1984-09-22,London,UK,UK,London,505 Birch Street,Camden,Diseñadora Gráfica,s,2,Sucursal XYZ,39
14,Carlos,Garcia,DNI,45678901,m,123-456-7890,987-654-3210,hector.garcia@example.com,1993-07-14,Bogota,Colombia,Colombia,Bogota,606 Oak Avenue,Sunset Hills,Desarrollador de Software,n,0,Sucursal ABC,28
